origin,destination,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004
HU,DE,109,80,119,111,139,101,68,96,0,65,66,38,80,30,58,119
HU,DK,null ,null ,null ,null ,null ,null ,null ,1,1,null ,null ,null ,1,1,0,1
HU,EL,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,0,0,0,0
HU,FR,null ,null ,null ,null ,null,null,null,null,null,null,0,0,0,0,0,0
HU,HR,30,30,32,28,31,29,29,35,32,26,28,31,29,32,34,34
HU,IT,null ,null ,null ,null ,null ,null ,null ,null ,null,null,null,null,17,16,4,2
HU,LT,null ,null ,null ,null ,null ,null ,null ,null ,0,0,0,null,0,null ,0,0
HU,LU,0,0,0,0,0,0,0,0,0,0,null ,0,0,null ,0,0
HU,MK,0,0,null ,null ,0,null ,null ,0,0,0,0,null ,null ,null ,null ,null 
HU,NL,null ,null ,null ,null ,null ,null ,null ,null ,null ,null,null,null ,null ,null ,null ,null 
HU,PL,5,9,6,5,5,6,3,3,4,4,5,7,11,13,17,16
HU,RO,65,66,62,57,65,63,54,8,7,48,50,59,67,63,71,67
HU,SI,12,12,12,12,10,7,6,11,11,10,12,10,8,11,19,17
HU,SK,179,171,159,156,118,130,126,136,115,45,97,106,85,89,77,62
HU,TR,null ,null ,null ,0,1,1,1,1,1,1,1,12,1,1,1,1
IE,AT,null ,null ,null ,null ,null ,null ,null ,null ,null ,null,null,null,null,null,null,null
IE,BG,null,null,null,2,4,4,4,4,3,5,4,7,1,null,null ,null 
IE,CZ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,0
IE,DE,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,0,0,0,0,null 
IE,FR,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,0
IE,HU,null,null,null,null,null,1,1,0,1,7,2,2,3,6,6,3
IE,PL,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,0,0,0
IE,RO,null ,null ,null ,null ,null ,null ,null ,null ,null ,2,null ,null ,0,0,0,0
IE,SI,0,0,0,0,null ,null ,null ,0,0,0,0,null ,null ,0,0,0
IE,SK,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,0,0,0,0
IE,TR,null ,null ,null ,0,2,2,1,1,5,2,2,4,3,null ,2,2
IE,UK,454,487,466,429,402,428,407,415,368,396,340,423,451,420,406,400
IR,TR,0,0,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null 
IS,RO,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,0,0,0,0
IT,AT,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
IT,BE,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,1,0,null ,0,0
IT,BG,null,null,null,5,5,16,13,15,17,24,16,22,1,null,null ,null 
IT,CH,1244,1139,1102,1086,1131,1783,1825,1865,1618,1601,1409,1484,null ,null ,null ,null 
IT,CZ,0,0,0,0,0,0,0,null ,null ,null ,0,1,null ,0,1,1
IT,DE,465,278,372,304,434,352,354,416,535,298,425,252,358,260,250,526
IT,DK,null ,null ,null ,null ,null ,null ,null ,1,null ,null ,null ,null ,null ,null ,0,1
IT,ES,null ,null ,0,null ,null ,null ,null ,9,12,13,16,16,24,28,29,30
IT,FR,null,null,null,null,null,null,null,null,null,null,870,855,883,913,946,710
IT,HR,0,null ,null ,null ,null ,0,0,0,11,12,13,12,11,19,6,6
IT,HU,null,null,null,null,null,7,9,12,42,37,39,37,40,36,23,24
IT,LT,null ,null ,null ,null ,null ,null ,null ,null ,null ,0,null,null ,0,null,0,null 
IT,LU,0,0,0,0,0,0,0,0,0,0,null ,0,null ,0,1,1
IT,NL,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,5,10,30
IT,PL,null ,null ,null ,null ,0,1,1,1,1,1,3,2,3,3,1,2
IT,RO,null ,null ,null ,null ,null ,0,0,0,0,12,12,6,10,2,6,16
IT,SI,11,null ,null ,0,0,1,1,1,7,6,12,14,20,25,16,20
IT,SK,0,0,0,null ,null ,null ,null ,null ,null ,0,null ,null ,null ,4,3,5
IT,TR,null ,null ,null ,2,4,6,4,6,7,12,10,18,13,null ,2,2
KP,BG,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,0,null ,null ,null ,null 
KZ,BG,null ,null ,null ,null ,null ,0,0,null ,0,0,0,null ,0,null,null ,null 
KZ,PL,null ,null ,null ,null ,null ,null ,0,0,0,0,1,1,1,1,1,1
LI,AT,null ,null ,null,null,null,null,null,null,null,null ,null ,null ,null,null,null,null
LI,RO,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,0,0,0,0
LI,SK,null ,null ,null ,null ,null ,null ,null ,null ,null ,0,null ,null ,null ,null ,null ,null 
